"No questionário do projeto, qual era a principal categoria de maternidade atípica das respondentes?",Mães de crianças/adolescentes/adultos com TEA (19 de 20).
"Qual é um dos resultados esperados do projeto, além do aplicativo, no âmbito acadêmico?",A produção de um artigo científico qualificado para submissão em revista e apresentação em eventos.
"O projeto AUTistima visa contribuir para a desconstrução de visões estigmatizantes, como a ideia de que crise é ____.",birra.
"Para garantir a qualidade da informação, o conteúdo do aplicativo AUTistima passará por um processo de _____ por especialistas.",validação.
"Além de especialistas, quem mais participará como avaliador na fase de teste do aplicativo?","Avaliadores externos, especialmente mães atípicas, que são o público-alvo."
Qual técnica de coleta de dados foi utilizada na pesquisa para alcançar um número maior de mães participantes?,"A técnica ""bola de neve"" (snowball sampling)."
O projeto de pesquisa do AUTistima foi desenvolvido no âmbito de qual programa institucional?,Programa Institucional de Bolsas de Iniciação Científica (PIBIC) da Faculdade Estácio de Sá – Maceió.
"Qual o significado de atendimento a ""valor social"" no contexto dos profissionais parceiros do AUTistima?","Um valor de consulta reduzido para famílias que não podem pagar o valor integral, mas conseguem arcar com um custo menor."
De que forma a própria gestão do aplicativo AUTistima pode gerar empregabilidade para a comunidade que atende?,"Empregando mães atípicas para atuar no suporte técnico, atendimento digital e acompanhamento das demandas."
"Na seção ""Nossos Filhos"" do app, quais informações podem ser cadastradas para mapear perfis e demandas?","Gênero, ano de nascimento, nível de suporte e uma descrição da criança."
"Na seção ""Dados Educacionais"", que informações podem ser cadastradas para mapear demandas nas escolas municipais?","Escola, série e se o aluno possui PAE (Profissional de Apoio Escolar)."
"Por que a logo do AUTistima foi desenhada com cores pastéis e fundo branco, segundo a explicação da idealizadora?",Para se adaptar a possíveis mães que tenham baixa visão e dificuldade com outras cores.
A pesquisa do AUTistima busca valorizar estratégias espontâneas desenvolvidas pelas mães a partir da ____.,experiência cotidiana com os filhos.
Qual é a principal queixa ou sentimento relatado pelas mães que justifica a criação de uma comunidade como o AUTistima?,Elas se sentem muito sozinhas e mais acolhidas ao conversar com outras mães que vivem a mesma experiência.
Como o AUTistima planeja aproveitar estudantes universitários para ampliar a rede de apoio?,Por meio de convênios para que estudantes em estágio obrigatório ou atividades de extensão atendam mães e crianças.
Qual seria o benefício para um profissional de saúde ao se cadastrar no AUTistima e oferecer atendimentos gratuitos ou a valor social?,Ele teria seu perfil divulgado gratuitamente no aplicativo e nas redes sociais do projeto.
